Country,Military Index,Military Budget,Active Troops,Aircraft,War Ships,Nuclear Warheads
Russia,82.2,149000000000.0,1100000.0,4300,565,5459
United States,85.2,997300000000.0,1326000.0,12860,474,5042
China,81.4,313700000000.0,2035000.0,3440,1036,600
France,64.2,64700000000.0,270000.0,988,138,370
United Kingdom,61.9,81800000000.0,144000.0,640,80,225
India,74.4,86100000000.0,1476000.0,2217,291,180
Pakistan,67.9,10200000000.0,660000.0,1369,148,170
Israel,63.6,46500000000.0,170000.0,532,53,90
South Korea,66.3,47600000000.0,500000.0,1543,155,0
Turkey,64.9,25000000000.0,355000.0,1067,215,0
Egypt,63.0,2400000000.0,438000.0,1101,320,0
Japan,61.5,55300000000.0,247000.0,1397,154,0
Iran,60.4,7900000000.0,610000.0,627,97,0
Taiwan,60.2,16500000000.0,169000.0,686,113,0
Greece,59.5,8000000000.0,143000.0,626,157,0
North Korea,55.0,1600000000.0,1280000.0,1131,385,50
Vietnam,59.0,5500000000.0,450000.0,205,112,0
Italy,58.8,38000000000.0,166000.0,743,309,0
Algeria,58.3,21800000000.0,130000.0,612,104,0
Ukraine,57.2,64700000000.0,1000000.0,342,175,0
Germany,57.1,88500000000.0,184000.0,589,71,0
Saudi Arabia,56.9,80300000000.0,257000.0,914,34,0
Indonesia,56.6,11000000000.0,404000.0,467,333,0
Thailand,55.8,5500000000.0,361000.0,481,302,0
Myanmar,55.6,5000000000.0,201000.0,338,240,0
United Arab Emirates,55.2,22800000000.0,63000.0,548,86,0
Brazil,55.0,20900000000.0,366000.0,502,76,0
Bangladesh,54.8,4000000000.0,163000.0,214,91,0
Spain,54.8,24600000000.0,120000.0,471,78,0
Morocco,54.3,5500000000.0,196000.0,256,122,0
Finland,53.8,7000000000.0,24000.0,164,230,0
Poland,53.6,38000000000.0,114000.0,449,46,0
Singapore,51.9,15100000000.0,51000.0,231,57,0
Iraq,51.8,6200000000.0,193000.0,396,62,0
Chile,51.5,5100000000.0,77000.0,277,73,0
Peru,51.2,2600000000.0,81000.0,255,79,0
Sweden,50.5,12000000000.0,30000.0,170,319,0
Australia,50.3,33799999999.999996,59000.0,355,41,0
Canada,50.0,29300000000.0,67000.0,355,159,0
